class_name,class_index
ApplyEyeMakeup,0
ApplyLipstick,1
Archery,2
BabyCrawling,3
BalanceBeam,4
BandMarching,5
BaseballPitch,6
Basketball,7
BasketballDunk,8
BenchPress,9
Biking,10
Billiards,11
BlowDryHair,12
BlowingCandles,13
Bowling,14
BoxingPunchingBag,15
BoxingSpeedBag,16
BreastStroke,17
BrushingTeeth,18
CleanAndJerk,19
CliffDiving,20
CricketBowling,21
CricketShot,22
Diving,23
Drumming,24
Fencing,25
FloorGymnastics,26
FrisbeeCatch,27
GolfSwing,28
Haircut,29
Hammering,30
HandstandPushups,31
HighJump,32
HorseRiding,33
HulaHoop,34
IceDancing,35
JavelinThrow,36
JugglingBalls,37
JumpingJack,38
Kayaking,39
Knitting,40
LongJump,41
Lunges,42
MoppingFloor,43
ParallelBars,44
PlayingGuitar,45
PlayingPiano,46
PlayingViolin,47
PushUps,48
Skiing,49
